Perfect,Msurf,Osurf,Msub,Osub,Oads,O2ads,Perfect,Msurf,Osurf,Msub,Osub,Oads,O2ads
72.798425,135.331716,188.08289,153.452237,149.213663,153.274729,190.208432,189.095575,145.821354,166.705359,78.843041,159.875835,125.008841,425.097961
67.259124,112.898427,142.069354,81.370219,119.933354,130.180239,131.64918,144.039049,72.304707,144.995832,67.285939,96.182944,110.40403,221.654867
65.008788,103.792967,100.510928,73.571531,115.449004,125.948186,115.655188,128.970514,69.656706,128.226078,65.344673,85.790983,72.093757,196.233808
64.617075,86.290358,93.22456,71.716753,75.731882,101.102038,88.495198,96.372847,68.271594,122.755326,65.283714,73.045796,67.51865,188.693652
64.054132,70.656672,82.554973,66.910444,66.444903,98.940416,85.522767,89.209287,66.197265,92.919384,64.716422,71.425454,64.452093,170.396235
62.814958,66.197768,70.752071,66.250657,65.63416,85.433119,76.718938,84.359048,65.758759,78.870284,63.034959,68.829391,63.403102,166.00861
62.629951,65.078995,69.748159,65.152173,63.749239,83.293967,70.524836,81.217508,64.997648,68.746702,62.675346,66.270402,63.020986,153.343504
61.750872,63.869418,63.816335,64.171946,62.675283,79.141358,68.020859,78.609798,64.072082,67.92113,62.120183,63.60074,62.77235,140.543501
61.480866,63.433399,62.613171,63.820059,62.163497,73.541577,64.426336,74.816194,63.333172,65.319814,61.586458,63.054377,62.051833,136.12034
61.195052,62.651106,62.169218,61.975345,61.940125,70.603091,64.092006,73.339073,62.388463,62.979881,60.99926,62.636666,62.019452,130.861516
59.627784,61.793722,61.192167,61.764804,61.030297,68.158254,63.949008,68.795727,61.615572,62.519638,60.811483,61.123636,59.873185,124.586761
57.5933,61.314082,59.113014,61.031896,60.184791,66.14511,62.293855,67.135188,60.812626,61.603134,60.360234,60.907135,59.621354,120.34161
57.133531,60.01378,57.991993,59.96786,57.518872,64.540743,62.104617,66.108591,59.676681,60.93384,59.303845,59.036777,58.990053,116.49886
56.654219,59.355641,57.583231,59.403183,56.195451,63.160716,61.205166,63.127705,59.580672,58.818747,58.745034,58.422749,58.632112,111.277769
56.266673,58.433569,57.212552,58.51964,55.742988,62.387217,59.784863,61.509438,58.466955,58.709635,57.446881,57.428795,57.101547,104.565273
55.665197,57.646626,56.664976,57.912115,55.456358,61.366948,58.844502,60.358786,57.800908,57.407645,57.297999,57.327544,56.64153,102.625456
55.036331,57.493476,55.609144,56.821308,54.453788,60.527734,58.471867,59.456736,56.888118,56.657819,56.41715,56.436722,55.669285,100.921278
54.275477,57.054103,54.645322,56.605197,53.926491,59.879384,57.870672,58.939569,56.496371,55.713659,55.370131,55.114111,55.257883,98.592023
54.085634,55.797373,54.049,56.046786,53.534957,59.403336,57.687526,58.63908,55.839528,54.649777,54.254803,54.986773,53.556223,96.463782
52.636758,55.038228,53.529664,55.214511,52.74787,58.944076,57.308065,57.223202,55.234396,53.786933,53.854986,54.219168,53.494135,94.049227
52.501268,54.552538,52.87346,54.529791,52.27614,56.979618,56.854543,56.110452,55.005168,53.570435,53.410674,53.898083,53.366782,91.839529
52.009281,54.144101,52.124623,54.353805,51.887865,56.894293,55.709875,55.139257,54.558164,52.81404,52.874137,53.354496,52.488713,89.595572
51.86445,53.682306,51.596953,53.514541,51.552863,55.983942,54.544281,53.916525,54.140777,51.954788,52.02663,51.674096,51.354549,85.980381
51.71265,52.94271,51.457988,53.109867,51.498518,55.332651,53.686127,53.516093,53.32536,51.842369,51.87917,51.540992,51.295488,84.620418
51.156322,51.736718,51.036772,52.67055,50.820231,54.900837,53.307661,53.112889,52.660309,50.483781,51.329847,50.889377,51.258229,80.562035
50.078246,51.096846,50.533893,51.468738,50.652294,54.098519,52.948025,52.168484,52.167059,50.291603,51.040958,50.602408,51.071696,78.692103
49.884066,50.837738,50.220742,50.54176,50.414507,53.608283,52.519658,51.482761,51.751225,49.588881,50.778203,49.988027,50.612794,78.473583
49.670424,50.465095,49.432324,49.990737,49.692637,52.158173,52.225604,50.698264,51.62795,48.892405,50.235499,49.442254,50.031094,75.390161
49.022405,49.919409,48.823496,49.83063,49.116043,51.477301,51.657755,49.994241,51.083131,48.16926,50.129945,49.132322,49.957155,74.014823
48.858557,49.298016,47.357013,49.02414,48.84603,51.369949,50.880773,49.156624,50.393353,47.796217,49.440361,48.367172,49.628904,70.937157
48.332495,48.522035,47.108037,48.763341,47.358964,50.211968,50.361643,48.803341,50.27714,46.761502,49.029672,48.126785,49.232641,67.882508
47.134027,47.718949,46.130657,48.248827,46.183247,49.531723,49.929096,48.232261,49.84943,46.455811,48.843972,47.559412,48.996129,65.16045
46.519402,46.684059,45.410374,47.342451,45.67949,49.046162,49.715357,48.038895,49.188251,46.19867,47.612167,46.615935,48.659399,63.849409
46.063359,46.301824,44.339555,46.806833,44.900311,48.641107,49.509706,47.153265,48.70151,45.485872,46.964467,45.359705,48.249021,61.671251
45.0321,46.18081,43.628518,46.200104,44.198153,47.643167,48.863664,46.570749,48.126404,44.469157,46.153506,45.179351,47.465811,60.445942
44.731023,45.50552,42.579417,44.83407,43.283281,47.081855,48.614619,46.255722,46.35432,44.074629,45.290384,44.276581,47.077999,56.307976
44.130218,44.477534,41.996961,44.215673,41.846373,46.794033,47.031186,45.343107,45.529484,43.666491,44.606766,44.002532,46.83323,54.39036
42.215101,42.681354,41.718611,43.573768,41.242181,45.884433,46.681994,44.926727,44.493524,43.393338,44.142074,43.538669,45.884843,53.037902
42.025176,42.056853,41.439043,43.253064,40.505319,45.395091,46.350826,44.134606,44.121909,42.793515,43.22764,42.592961,45.807851,49.770299
41.689962,41.764958,41.026873,41.929969,39.941482,44.833744,45.532238,43.698976,43.642354,41.618244,42.742403,41.582065,44.577003,48.169691
41.26433,40.861707,40.350601,41.359749,39.21695,44.037034,44.60876,43.040821,42.914141,41.008159,42.602151,40.463994,43.527167,47.56424
40.923842,40.625433,40.011026,40.844773,38.713173,42.677585,44.034686,41.909029,42.433562,40.409016,41.899761,38.977748,43.357837,46.698096
39.074252,39.992459,38.97092,39.901331,37.038455,41.830912,42.802127,40.651912,42.114526,39.896707,41.262418,38.200952,42.948819,44.717126
38.981587,39.436661,37.995101,39.661585,36.035266,40.587464,42.57561,40.001023,41.853919,39.395263,40.969086,36.987118,42.391412,43.264157
38.436238,39.397717,37.131566,38.539439,35.483703,40.244224,42.247541,39.524907,40.968221,38.450851,40.703956,36.651633,41.98271,42.677107
38.03785,38.118978,36.804308,38.246171,35.144376,39.80148,41.951502,38.839829,40.511453,38.059214,38.128571,35.911042,41.69045,39.938246
36.187812,37.613497,35.904065,37.95501,34.972879,38.146068,41.291546,37.45328,39.919253,35.28561,37.834681,33.945647,40.857177,38.808862
35.988712,36.43658,35.342572,37.034731,34.692077,37.047235,41.088475,34.707896,39.818993,35.060541,36.723566,33.098973,40.701887,38.145007
35.353476,35.606828,34.676114,36.158857,34.499713,36.257345,40.667085,34.312271,38.971155,34.484053,35.188768,32.283753,38.437685,36.312019
35.293219,35.353903,33.747783,35.70838,34.032095,35.74267,39.323201,33.127183,36.23317,33.585481,34.921153,31.85519,37.779941,34.040279
34.945754,34.655679,33.196159,34.50244,31.879271,35.596103,38.874806,32.605361,34.988271,32.55178,34.241547,30.744042,36.53152,33.583937
33.909891,34.04976,31.300725,33.823121,31.541169,33.81605,37.135376,31.558199,33.570328,32.159318,32.915651,30.069508,35.416396,31.866549
31.059812,32.758497,30.997308,33.448539,30.43496,32.73485,36.223814,31.287642,33.22402,31.575158,32.415304,29.732678,33.564567,29.721206
30.578072,31.91149,30.349176,31.866199,30.309671,32.51078,35.882064,30.524095,32.503592,30.951935,31.418687,28.52163,33.534696,29.074393
30.099173,31.164504,29.702813,30.883992,30.001883,31.934457,35.443236,30.046147,31.876976,30.564501,30.797213,28.275875,33.413407,27.496004
29.979815,30.870767,29.314951,30.756166,29.663924,30.654364,34.156,29.843937,31.727603,29.93029,29.9713,27.85008,32.995841,27.119267
29.732909,29.930219,29.198469,30.584488,29.05209,30.219438,33.271545,28.853531,31.374954,29.07691,29.593289,27.524373,32.538272,24.132288
29.419577,29.415764,28.353945,29.75159,28.568012,29.429307,32.781434,28.083783,30.10457,28.054208,29.491855,27.344906,31.467868,22.746905
28.444207,28.83012,27.851244,29.302703,28.0676,28.918204,31.907976,27.907792,29.319019,27.196699,28.925124,26.786829,31.182337,19.61379
28.364533,28.421599,27.109857,28.783866,27.502728,27.94928,31.612388,27.394478,28.758377,26.577202,28.207287,26.204717,30.992196,17.402584
27.837654,27.855997,26.430303,28.33483,26.748588,27.581847,30.386231,26.91611,27.694648,26.142409,28.078553,25.778341,29.874539,14.321743
27.502971,27.387193,26.042535,27.103297,26.24171,27.107511,30.140671,26.123558,27.420811,25.473547,27.504674,25.201361,29.105023,13.667338
26.943278,26.979698,25.440936,26.986169,25.742452,26.910163,29.797443,25.425934,26.894403,25.234164,27.098112,24.923528,28.685237,9.902915
26.65224,26.097442,25.375238,26.958095,25.209983,26.644901,29.181155,24.564831,26.875021,24.973248,26.694141,24.512462,28.225308,7.856968
26.164452,25.87317,25.198944,26.339485,24.786064,26.164441,28.837994,24.168685,26.554102,24.744966,26.372664,24.269581,27.352475,7.856968
25.315778,25.689642,24.860375,26.098121,24.366863,25.859166,28.356059,23.90604,25.910853,24.156965,25.856309,23.670578,27.289603,7.856968
25.179814,24.935019,24.633731,25.650058,23.957634,24.989098,27.593004,23.152159,25.699136,24.05271,25.649029,23.40087,26.27585,7.856968
25.063903,24.559017,24.49462,25.423441,23.432004,24.390849,27.403186,23.106224,25.178996,23.515654,25.184932,23.153585,26.082678,7.856968
24.756034,24.345907,24.273242,25.296751,23.17853,24.180954,26.891058,22.813937,24.921566,23.377233,24.733341,22.814677,25.803371,7.856968
24.647871,24.311749,23.880736,25.064876,22.103713,23.755757,26.538945,22.063277,24.69044,22.138485,24.487343,22.225923,25.617654,7.856968
24.34477,24.016149,23.790946,24.716319,21.923912,22.109842,26.054234,21.424052,24.529101,21.780403,24.179429,22.011964,25.553402,7.856968
23.95949,23.024097,23.4071,24.384294,21.738289,21.845604,25.936673,21.200918,23.946618,21.462452,23.90774,21.473299,25.160676,7.856968
23.801374,22.121505,23.173211,24.091568,21.372374,21.616309,25.316533,20.472046,23.434902,20.67309,23.323015,21.077034,24.869053,7.856968
23.72,21.848224,22.444666,23.25782,20.457717,21.0432,25.09295,19.523277,23.051124,19.982452,22.548002,20.463415,24.823633,7.856968
23.603755,21.395711,21.747032,22.930201,20.358703,20.536967,24.332129,18.179482,22.834252,18.606041,22.431573,20.190735,24.399706,7.856968
22.732423,20.975336,21.463524,22.381063,19.535673,20.1512,24.146618,17.518274,22.474466,18.436958,22.246065,19.731894,24.03174,7.856968
22.702728,20.531341,20.525773,21.647372,19.243418,18.718895,23.969608,17.161796,22.046511,18.250508,21.947955,19.692889,23.853741,7.856968
22.543396,20.289646,20.027445,21.246513,19.023102,17.837741,23.235437,16.045025,21.25324,17.594605,21.322314,19.132528,23.52646,7.856968
21.985549,19.281832,19.697297,20.047426,18.481813,17.269207,22.636673,14.663794,20.706136,16.831673,20.664687,18.56082,22.545661,7.856968
20.447097,18.970182,19.351309,19.809178,17.568604,15.244154,21.918164,9.958258,20.003878,16.158552,19.533289,17.918452,22.337339,7.856968
20.020702,18.513985,18.751514,19.596895,16.741961,14.070491,21.270005,8.399173,19.436553,15.126578,19.321568,17.386793,21.626955,7.856968
19.916846,18.277242,18.366358,19.059771,16.495459,12.034676,20.74702,8.399173,19.356018,14.219735,19.112121,16.761618,21.049878,7.856968
19.282356,18.10558,17.945197,18.741246,16.105215,10.216925,20.156485,8.399173,19.137087,13.366107,18.977023,15.957251,20.320234,7.856968
19.129494,17.470993,17.3438,18.260009,14.633706,10.216925,19.516957,8.399173,19.02239,13.366107,18.229879,15.608489,19.644756,7.856968
18.297056,15.325461,16.606763,18.011873,12.35356,10.216925,18.517217,8.399173,18.490326,13.366107,17.794892,14.444113,19.539396,7.856968
17.962614,13.615318,15.705614,17.807001,10.600907,10.216925,18.211421,8.399173,18.126906,13.366107,17.604344,12.933111,19.455783,7.856968
17.747119,11.000758,14.565563,17.449875,7.338761,10.216925,17.274527,8.399173,17.628104,13.366107,16.845057,8.910963,19.335189,7.856968
17.440772,7.704692,12.63657,14.771661,5.967519,10.216925,15.868762,8.399173,17.102612,13.366107,16.257295,8.910963,19.310452,7.856968
17.261059,7.083627,9.530317,11.921533,5.967519,10.216925,15.145942,8.399173,16.209168,13.366107,16.122806,8.910963,18.630535,7.856968
16.930744,7.083627,7.311545,6.868003,5.967519,10.216925,13.38624,8.399173,15.657663,13.366107,10.026101,8.910963,18.143793,7.856968
14.850715,7.083627,5.404158,5.103705,5.967519,10.216925,9.740842,8.399173,12.543407,13.366107,8.777817,8.910963,17.940857,7.856968
13.919508,7.083627,5.404158,5.103705,5.967519,10.216925,9.740842,8.399173,7.523277,13.366107,8.777817,8.910963,17.373234,7.856968
9.677868,7.083627,5.404158,5.103705,5.967519,10.216925,9.740842,8.399173,7.22384,13.366107,8.777817,8.910963,16.853478,7.856968
7.332252,,,,,10.216925,9.740842,8.399173,,,,,16.452749,7.856968
7.332252,,,,,10.216925,9.740842,8.399173,,,,,16.105259,7.856968
7.332252,,,,,10.216925,9.740842,8.399173,,,,,14.287687,7.856968
,,,,,10.216925,9.740842,,,,,,13.113619,7.856968
,,,,,10.216925,9.740842,,,,,,7.110824,7.856968
,,,,,10.216925,9.740842,,,,,,6.932504,7.856968
,,,,,,9.740842,,,,,,,7.856968
,,,,,,9.740842,,,,,,,7.856968
,,,,,,9.740842,,,,,,,7.856968
